id,kanji,reading,pos,meaning_zh
301,対外,たいがい,na-adj,对外
302,対価,たいか,noun,对价; 代价
303,対置,たいち,verb-noun,对置; 对照
304,耐性,たいせい,noun,耐性; 抵抗力
305,怠慢,たいまん,na-adj,怠慢
306,体裁,ていさい,noun,体面; 格式
307,逮捕,たいほ,verb-noun,逮捕
308,台頭,たいとう,verb-noun,抬头; 兴起
309,退避,たいひ,verb-noun,退避; 规避
310,退行,たいこう,verb-noun,退行
311,代替,だいたい,verb-noun,替代; 代替
312,立脚,りっきゃく,verb-noun,立足
313,脱却,だっきゃく,verb-noun,摆脱
314,担保,たんぽ,verb-noun,担保
315,短絡,たんらく,verb-noun,短路; 简单化
316,探知,たんち,verb-noun,探测
317,端末,たんまつ,noun,终端
318,断行,だんこう,verb-noun,断然实行
319,断言,だんげん,verb-noun,断言
320,断絶,だんぜつ,verb-noun,断绝
321,知覚,ちかく,verb-noun,知觉
322,知能,ちのう,noun,智能
323,致死,ちし,verb-noun,致死
324,遅延,ちえん,verb-noun,延迟
325,蓄積,ちくせき,verb-noun,积累
326,秩序,ちつじょ,noun,秩序
327,抽象,ちゅうしょう,na-adj,抽象
328,中枢,ちゅうすう,noun,中枢
329,忠実,ちゅうじつ,na-adj,忠实
330,丁目,ちょうめ,noun,几丁目（地址单位）
331,直感,ちょっかん,noun,直觉
332,陳腐化,ちんぷか,verb-noun,陈旧化
333,沈静化,ちんせいか,verb-noun,平息
334,沈着,ちんちゃく,na-adj,沉着
335,沈滞,ちんたい,verb-noun,停滞
336,追究,ついきゅう,verb-noun,探究
337,痛感,つうかん,verb-noun,痛感
338,通達,つうたつ,verb-noun,通达; 通知
339,佃煮,つくだに,noun,酱煮小菜
340,貫く,つらぬく,v5,贯穿; 贯彻
341,手薄,てうす,na-adj,薄弱; 不充足
342,適用,てきよう,verb-noun,适用
343,摘発,てきはつ,verb-noun,揭发
344,徹頭徹尾,てっとうてつび,adv,彻头彻尾
345,転移,てんい,verb-noun,转移
346,転載,てんさい,verb-noun,转载
347,転身,てんしん,verb-noun,转身; 转行
348,転属,てんぞく,verb-noun,转属
349,点在,てんざい,verb-noun,点在
350,典拠,てんきょ,noun,典据; 依据
351,党派,とうは,noun,党派
352,到来,とうらい,verb-noun,到来
353,投入,とうにゅう,verb-noun,投入
354,同義,どうぎ,noun,同义
355,同居,どうきょ,verb-noun,同居
356,動態,どうたい,noun,动态
357,瞳孔,どうこう,noun,瞳孔
358,同等,どうとう,na-adj,同等
359,同封,どうふう,verb-noun,同封
360,洞察,どうさつ,verb-noun,洞察
361,導入,どうにゅう,verb-noun,导入
362,銅像,どうぞう,noun,铜像
363,特性,とくせい,noun,特性
364,得点,とくてん,verb-noun,得分
365,独占,どくせん,verb-noun,独占
366,独自,どくじ,na-adj,独自
367,独断,どくだん,noun,独断
368,読解,どっかい,noun,读解
369,内在,ないざい,noun,内在
370,内製,ないせい,verb-noun,自研; 内制
371,納期,のうき,noun,交付期; 交货期
372,納得,なっとく,verb-noun,理解; 同意
373,難題,なんだい,noun,难题
374,軟化,なんか,verb-noun,软化
375,二義的,にぎてき,na-adj,次要的
376,任命,にんめい,verb-noun,任命
377,認可,にんか,verb-noun,许可
378,認証,にんしょう,verb-noun,认证
379,抜本,ばっぽん,na-adj,根本; 彻底
380,把持,はじ,verb-noun,把持; 掌握
381,破断,はだん,verb-noun,断裂
382,破格,はかく,na-adj,破格; 特例
383,馬鹿正直,ばかしょうじき,na-adj,过分老实
384,派閥,はばつ,noun,派阀
385,波長,はちょう,noun,波长
386,派遣,はけん,verb-noun,派遣
387,破綻,はたん,verb-noun,破产; 破绽
388,発揮,はっき,verb-noun,发挥
389,発掘,はっくつ,verb-noun,发掘
390,発言,はつげん,verb-noun,发言
391,発注,はっちゅう,verb-noun,下单
392,反感,はんかん,noun,反感
393,反響,はんきょう,verb-noun,反响
394,反射,はんしゃ,verb-noun,反射
395,反証,はんしょう,verb-noun,反证
396,反則,はんそく,verb-noun,犯规
397,汎用,はんよう,na-adj,通用; 泛用
398,伴走,ばんそう,verb-noun,陪跑; 陪伴
399,微塵,みじん,noun,微尘; 丝毫
400,美徳,びとく,noun,美德
