id,kanji,reading,pos,meaning_zh
151,合成,ごうせい,verb-noun,合成
152,誇張,こちょう,verb-noun,夸张
153,互助,ごじょ,noun,互助
154,誤解,ごかい,verb-noun,误解
155,誤用,ごよう,verb-noun,误用
156,工学,こうがく,noun,工程学
157,高尚,こうしょう,na-adj,高尚
158,巧妙,こうみょう,na-adj,巧妙
159,硬化,こうか,verb-noun,硬化
160,降格,こうかく,verb-noun,降级; 降职
161,考慮,こうりょ,verb-noun,考虑
162,交流,こうりゅう,verb-noun,交流
163,拘束,こうそく,verb-noun,束缚; 拘束
164,合意,ごうい,noun,合意; 共识
165,合併,がっぺい,verb-noun,合并
166,恒久,こうきゅう,na-adj,永久; 恒久
167,広義,こうぎ,noun,广义
168,公益,こうえき,noun,公益
169,功績,こうせき,noun,功绩
170,耕作,こうさく,verb-noun,耕作
171,混迷,こんめい,verb-noun,混乱; 迷局
172,混雑,こんざつ,verb-noun,拥挤
173,懇談,こんだん,verb-noun,座谈
174,歳出,さいしゅつ,noun,岁出; 支出
175,歳入,さいにゅう,noun,岁入; 收入
176,採掘,さいくつ,verb-noun,采矿; 开采
177,栽培,さいばい,verb-noun,栽培
178,在籍,ざいせき,verb-noun,在籍
179,査定,さてい,verb-noun,评估; 鉴定
180,作図,さくず,verb-noun,制图
181,搾取,さくしゅ,verb-noun,剥削
182,索引,さくいん,noun,索引
183,削除,さくじょ,verb-noun,删除
184,参照,さんしょう,verb-noun,参照
185,散漫,さんまん,na-adj,散漫
186,賛否,さんぴ,noun,赞成与反对
187,残虐,ざんぎゃく,na-adj,残虐
188,仕組み,しくみ,noun,机制; 结构
189,施行,しこう,verb-noun,施行
190,施策,しさく,noun,施策; 措施
191,志向,しこう,verb-noun,志向; 倾向
192,嗜好,しこう,noun,嗜好
193,資金,しきん,noun,资金
194,資産,しさん,noun,资产
195,視察,しさつ,verb-noun,视察
196,示唆,しさ,verb-noun,启示; 暗示
197,持続,じぞく,verb-noun,持续
198,時折,ときおり,adv,时而; 偶尔
199,事業,じぎょう,noun,事业
200,事象,じしょう,noun,现象; 事象
201,自治,じち,noun,自治
202,自重,じちょう,verb-noun,自重; 慎重行事
203,実証,じっしょう,verb-noun,实证
204,実態,じったい,noun,实体; 实际情况
205,実費,じっぴ,noun,实费; 成本价
206,軸,じく,noun,轴
207,従事,じゅうじ,verb-noun,从事
208,充足,じゅうそく,verb-noun,充足
209,充当,じゅうとう,verb-noun,充作; 划拨
210,重宝,ちょうほう,na-adj,方便有用; 珍视
211,柔軟,じゅうなん,na-adj,柔软; 灵活
212,授与,じゅよ,verb-noun,授予
213,需要,じゅよう,noun,需求
214,旬,じゅん,noun,上中下旬之一
215,順応,じゅんのう,verb-noun,适应
216,処遇,しょぐう,verb-noun,待遇; 处置
217,処置,しょち,verb-noun,处置
218,所蔵,しょぞう,verb-noun,收藏
219,所在,しょざい,noun,所在
220,所定,しょてい,na-adj,规定的; 既定
221,諸般,しょはん,noun,诸般; 各种
222,助長,じょちょう,verb-noun,助长
223,叙述,じょじゅつ,verb-noun,叙述
224,上昇,じょうしょう,verb-noun,上升
225,上限,じょうげん,noun,上限
226,証言,しょうげん,verb-noun,证言
227,照合,しょうごう,verb-noun,核对
228,詳述,しょうじゅつ,verb-noun,详述
229,衝突,しょうとつ,verb-noun,冲突
230,醸成,じょうせい,verb-noun,酿成; 培养氛围
231,譲歩,じょうほ,verb-noun,让步
232,抄録,しょうろく,verb-noun,摘录; 摘要
233,振興,しんこう,verb-noun,振兴
234,進呈,しんてい,verb-noun,奉送; 赠送
235,進捗,しんちょく,verb-noun,进展
236,新陳代謝,しんちんたいしゃ,noun,新陈代谢
237,真偽,しんぎ,noun,真伪
238,審査,しんさ,verb-noun,审查
239,申告,しんこく,verb-noun,申报
240,人体,じんたい,noun,人体
241,人為,じんい,noun,人为
242,人件費,じんけんひ,noun,人件费
243,人格,じんかく,noun,人格
244,人格権,じんかくけん,noun,人格权
245,陣取る,じんどる,v5,占据; 抢占
246,水準,すいじゅん,noun,水准
247,推移,すいい,verb-noun,推移; 变化
248,推察,すいさつ,verb-noun,推测
249,推奨,すいしょう,verb-noun,推荐
250,垂直,すいちょく,noun,垂直
251,据える,すえる,v1,安置; 摆放; 安装
252,据え置き,すえおき,noun,搁置; 保留原状
253,崇拝,すうはい,verb-noun,崇拜
254,崇高,すうこう,na-adj,崇高
255,制御,せいぎょ,verb-noun,控制; 制御
256,整頓,せいとん,verb-noun,整顿
257,成果,せいか,noun,成果
258,牲,せい,noun,牺牲（文語）
259,正規,せいき,na-adj,正规; 正式
260,正体,しょうたい,noun,真面目; 真身
261,政策,せいさく,noun,政策
262,生態系,せいたいけい,noun,生态系统
263,静止,せいし,verb-noun,静止
264,精巧,せいこう,na-adj,精巧
265,精査,せいさ,verb-noun,精查
266,成熟,せいじゅく,verb-noun,成熟
267,請求,せいきゅう,verb-noun,请求; 索赔
268,精彩,せいさい,na-adj,精彩
269,清算,せいさん,verb-noun,清算
270,脆弱,ぜいじゃく,na-adj,脆弱
271,跡継ぎ,あとつぎ,noun,继承人
272,絶妙,ぜつみょう,na-adj,绝妙
273,舌禍,ぜっか,noun,祸从口出
274,是非,ぜひ,noun,可否; 一定要（副）
275,是認,ぜにん,verb-noun,认可; 承认
276,前提,ぜんてい,noun,前提
277,全般,ぜんぱん,noun,全般; 全面
278,先決,せんけつ,noun,先决
279,先駆,せんく,verb-noun,先驱
280,専念,せんねん,verb-noun,专心致志
281,選考,せんこう,verb-noun,选拔; 审核
